Urban Area,impactRank2020,hrsLostInCongestion2020,preCovidChange,lastMile
Oceanside CA,473 (412),23 (506),16%,23
Odessa TX,859 (860),7 (873),-28%,28
Ogden UT,728 (932),11 (768),182%,35
Oklahoma City OK,736 (307),10 (790),-48%,17
Olympia WA,782 (976),10 (795),10%,22
Omaha NE,686 (825),13 (737),-3%,25
Orlando FL,779 (430),9 (814),-47%,25
Oxnard CA,801 (229),8 (843),-18%,23
Panama City FL,646 (337),16 (670),-48%,20
Parkersburg WV,942 (953),3 (945),-31%,28
Patchogue NY,908 (669),6 (901),-43%,28
Peekskill NY,929 (493),5 (922),-70%,22
Pensacola FL,514 (781),20 (569),64%,23
Peoria IL,948 (667),3 (949),437%,27
Philadelphia PA,13 (5),90 (16),-37%,12
Phoenix AZ,426 (291),21 (548),-44%,20
Pittsburgh PA,511 (966),18 (617),-50%,-
Port St. Lucie FL,227 (-),31 (4),-,-
Portland ME,930 (178),3 (940),-86%,20
Portland OR,85 (115),48 (135),-46%,18
Portsmouth NH,848 (918),9 (829),815%,24
Pottstown PA,937 (982),4 (933),41%,31
Providence RI,163 (152),38 (264),-46%,16
Provo UT,678 (785),13 (736),2%,26
Raleigh NC,877 (967),6 (890),-79%,-
Reading PA,941 (934),3 (944),-23%,37
Reno NV,611 (783),16 (669),35%,24
Richmond VA,760 (691),10 (793),-67%,24
Roanoke VA,720 (435),12 (759),-17%,21
Rochester NH,928 (941),4 (930),50%,39
Rohnert Park CA,918 (280),5 (918),-71%,22
Sacramento CA,366 (331),25 (472),-62%,18
Saginaw MI,765 (940),11 (772),11%,22
Salem OR,558 (738),18 (620),81%,23
Salinas CA,729 (903),12 (760),-3%,22
Salt Lake City UT,751 (930),10 (791),44%,24
San Antonio TX,390 (390),23 (504),-40%,20
San Diego CA,230 (290),32 (338),-54%,23
San Francisco CA,34 (38),64 (50),-34%,14
San Rafael CA,557 (198),22 (530),-37%,19
Santa Cruz CA,502 (1007),21 (551),110%,24
Santa Fe NM,742 (776),12 (761),-29%,21
Santa Rosa CA,784 (155),9 (815),-63%,27
Sarasota/Bradenton FL,442 (173),28 (417),-,19
Savannah GA,603 (862),17 (645),38%,19
Schenectady NY,643 (788),18 (627),17%,16
Seattle WA,250 (130),30 (379),-59%,19
Sherman TX,906 (956),5 (913),934%,33
South Bend IN,826 (823),8 (848),-27%,26
Spartanburg SC,878 (492),6 (891),-49%,21
Spokane WA,504 (793),20 (568),10%,20
Springfield MA,815 (831),8 (846),59%,32
St. George UT,825 (914),9 (824),-,25
St. Louis MO,725 (723),10 (789),-,25
Stamford CT,121 (68),46 (154),-38%,16
Stockton CA,769 (628),10 (794),387%,23
Strathearn CA,664 (606),16 (672),6%,32
Stuart FL,764 (643),14 (715),-23%,29
Surprise AZ,819 (900),9 (821),25%,26
Syracuse NY,811 (886),8 (845),-10%,22
Tacoma WA,726 (385),13 (741),-,19
Tallahassee FL,537 (294),19 (595),-26%,22
Tampa FL,440 (228),21 (549),-38%,25
Toledo OH,893 (884),5 (908),-15%,22
Toms River NJ,787 (846),10 (796),31%,28
Tucson AZ,492 (672),19 (593),-16%,20
Tulsa OK,923 (939),4 (928),20%,22
Tuscaloosa AL,843 (839),7 (868),-42%,25
Vacaville CA,597 (748),19 (597),-19%,21
Vallejo CA,871 (401),6 (888),-59%,23
Waco TX,947 (919),3 (948),-6%,46
Washington DC,98 (89),44 (177),-65%,14
Waterbury CT,723 (704),14 (713),126%,28
Watsonville CA,669 (705),17 (650),-13%,22
West Chester PA,780 (765),13 (747),-45%,30
Wheeling WV,829 (858),9 (825),-34%,26
Williamsburg VA,875 (991),8 (855),176%,35
Wilmington DE,648 (415),17 (648),-,19
Wilmington NC,569 (896),18 (621),-3%,28
Winston-Salem NC,876 (842),6 (889),-36%,30
Winter Haven FL,750 (668),13 (745),-5%,27
Woodbridge VA,861 (589),10 (804),-32%,27
Worcester MA,637 (679),14 (708),-24%,29
